Column1,name,ジャンル,その他ジャンル,都道府県,住所,電話番号,最寄り駅,Googleマップ,ウェブサイト,Twitter,Facebook,Instagram,normalized_name,name_count_norm,is_chain
2820.0,鶏ガラ貝出汁カレー専門店 天,カレー,,大阪府,大阪府大阪市福島区福島3-9-15-2F,9073593898.0,新福島駅,https://goo.gl/maps/YjV2qc7nnYCg79t8A,,,,http://Instagram.com/curry.ten/,鶏ガラ貝出汁カレー専門店 天,2.0,False
2821.0,重ね煮キッチン ちいさなクローバー,居酒屋・ダイニングバー,,福岡県,福岡県筑紫野市武蔵5丁目4-21,9073963285.0,,https://goo.gl/maps/r9aPMK273tLeXDw96,http://www.clover-aroma.com/,,https://facebook.com/clover.smallclover,https://www.instagram.com/clover_smallclover/,重ね煮キッチン ちいさなクローバー,2.0,False
2822.0,炒飯酒家 Cocokara,中華料理,,福岡県,福岡県うきは市吉井町若宮５６−４,9074438216.0,筑後吉井駅,https://goo.gl/maps/UW68nwX1KyMnj62u7,https://www.cocokara.org,,https://facebook.com/pages/category/Food---Beverage-Company/炒飯酒家-Cocokara-947604541968559/,https://www.instagram.com/cocokara.tyahan/,炒飯酒家 Cocokara,2.0,False
2823.0,ワイン食堂 バルソル,カフェレストラン,,福岡県,福岡県福岡市早良区西新５丁目８−２５タキヤマビル1F,9074550501.0,西新駅,https://goo.gl/maps/y1uRnvEKWVZnqFYp6,,https://twitter.com/barsol2006,https://facebook.com/barSOL2006,https://instagram.com/barsol.nishijin/,ワイン食堂 バルソル,2.0,False
2824.0,糸　釧路,ベジ・ヴィーガン,,北海道,北海道釧路市住吉1-9-12　1F,9076441609.0,釧路駅,https://goo.gl/maps/F8ULn4hd7Z9BBdKq9,,,,,糸 釧路,2.0,False
2825.0,元気茶房,台湾料理,台湾料理,大阪府,大阪府大阪市天王寺区逢阪2-4-22,9077667265.0,天王寺駅,https://maps.app.goo.gl/uccJwqNmFhPE1oQy9,,,https://facebook.com/genkisabou/?locale=ja_JP,https://instagram.com/genkisabou?igshid=mn2kfarcexim,元気茶房,2.0,False
2826.0,ホリスティックマーケットキッチン,ベジ・ヴィーガン,,千葉県,千葉県船橋市本中山2-23-10,9080187272.0,下総中山駅,https://goo.gl/maps/jd8kQMyCwZT9H19Y6,http://www.plusnaturi7.com/,,https://facebook.com/plusnaturi/,https://instagram.com/plusnaturi/,ホリスティックマーケットキッチン,2.0,False
2827.0,お家カフェあさすみ,カフェレストラン,,大阪府,大阪府泉南市岡田5丁目15-20,9081227150.0,岡田浦駅,https://goo.gl/maps/rFMvAMDdbnq2P2vx8,,,,,お家カフェあさすみ,2.0,False
2829.0,なんちゃっ亭　葡萄亭,その他,キッシュ,長野県,長野県安曇野市豊科高家3710-5下田コーポ東,9083260354.0,田沢駅,https://goo.gl/maps/avuA7aehApwMXQAh8,,,,https://instagram.com/akihisam3/,なんちゃっ亭 葡萄亭,2.0,False
2830.0,ピヨトトシャ,各国料理,,東京都,東京都杉並区西荻南２丁目２４−１７,9085085016.0,西荻窪駅,https://goo.gl/maps/mTMNb3J3Kw8ikuFt6,,https://twitter.com/piyototochat,,https://instagram.com/piyototochat,ピヨトトシャ,2.0,False
2831.0,ライス&カリー ラーマ,カレー,,大阪府,大阪府大阪市西区土佐堀２丁目３−２３,9085331211.0,肥後橋駅,https://goo.gl/maps/CTiduHXi8X3x8aus6,,,https://facebook.com/ramacurry/,,ライス&カリー ラーマ,2.0,False
2832.0,恵比寿　今市,和食,生産者さんからの素材を活かした季節の和食。日本酒や日本ワインに合う酒に合う料理。,東京都,東京都渋谷区恵比寿西,9088090101.0,恵比寿駅,https://g.page/ebisu-imaichi?share,https://www.google.com/amp/s/amp.retty.me/r/100001317893/,,https://www.facebook.com/ebisu.imaichi/,https://www.instagram.com/ima1ebisu/,恵比寿 今市,2.0,False
2833.0,Lyon de Lyon,フレンチ,,茨城県,茨城県つくば市西大橋170-1,298285587.0,つくば駅,https://goo.gl/maps/ULXhmAEUFnPHp5vg7,https://lyon-de-lyon.com/,,,,Lyon de Lyon,2.0,False
2834.0,カフェバスブリス＆蔵ギャラリー穂和,喫茶店・カフェ,,長野県,長野県安曇野市穂高牧1735番地,9092233654.0,穂高駅,https://maps.app.goo.gl/7iCQu9z4mYgVV68Z8,https://howa-wiseman.jimdofree.com/,https://twitter.com/CAFEBUSBLISS2,https://facebook.com/azuminocafe/,https://www.instagram.com/howaneko/,カフェバスブリス＆蔵ギャラリー穂和,1.0,False
2835.0,ビンゴバーガー 南町田駅前店,ハンバーガー,,東京都,東京都町田市南町田5丁目10-28,9092421106.0,南町田グランベリーパーク駅,https://goo.gl/maps/bQD8eJCfwnYHJNz79,,,https://facebook.com/%E3%83%93%E3%83%B3%E3%82%B4%E3%83%90%E3%83%BC%E3%82%AC%E3%83%BC-169505956450734/,,ビンゴバーガー,2.0,False
2836.0,Cafe K,喫茶店・カフェ,,埼玉県,埼玉県川越市南通町4-15,9092945815.0,川越駅,https://goo.gl/maps/ZTwCKPcurfXSCt719,https://www.facebook.com/koedokawagoe.cafe/,,,https://instagram.com/koedo_cafe_k/,Cafe K,2.0,False
2837.0,CHICKEN SEVEN チキンセブン,その他,チキン料理、ハラル料理,東京都,東京都千代田区神田須田町2-15-1,9093018622.0,秋葉原駅,https://g.page/chicken7?share,,https://twitter.com/CHICKENSEVEN3,,,CHICKEN SEVEN チキンセブン,2.0,False
2838.0,リトルッカ,ベジ・ヴィーガン,,東京都,東京都練馬区早宮4-27-10-5,9093122031.0,平和台駅,https://goo.gl/maps/1aKAVG7WPyMpf2Nu6,https://www.litorukka.com,,https://facebook.com/litorukka/,https://instagram.com/litorukka/,リトルッカ,2.0,False
2839.0,Oyasai,ベジ・ヴィーガン,,愛知県,愛知県名古屋市名東区山の手3-201,9093397641.0,上社駅,https://goo.gl/maps/Nui8Arf4cyZeMAQy9,,,,https://www.instagram.com/oyasai_vegancafe/?hl=ja,Oyasai,2.0,False
2840.0,テンサン,カフェレストラン,,茨城県,茨城県取手市寺田1570,9093637346.0,取手駅,https://goo.gl/maps/q4yVnLxr9w2vq3zH9,,,https://facebook.com/tensantoride/,,テンサン,2.0,False
2841.0,FIL D'OR フィルドール,フレンチ,,石川県,石川県金沢市片町２丁目１３−２４,9094421324.0,金沢駅,https://goo.gl/maps/Qp4mKbRt2Q9cNmMv8,,,https://facebook.com/FIL-DOR-フィルドール-879580538860200,https://instagram.com/fildor_kanazawa?igshid=nftxcqj24ynv,FIL D'OR フィルドール,2.0,False
2842.0,照寿司,寿司,,福岡県,福岡県北九州市戸畑区菅原３丁目１−７,9095672202.0,戸畑駅,https://goo.gl/maps/vtbeZmhnDMMP1AZ27,https://terusushi.jp/,,https://facebook.com/terusushi.tobata/,,照寿司,2.0,False
2843.0,連歌屋珈琲,喫茶店・カフェ,,福岡県,福岡県太宰府市宰府3丁目3番18号,9096062948.0,太宰府駅,https://g.page/dazaifu_coffee_rengaya?share,,,,https://instagram.com/dazaifu_coffee_rengaya/,連歌屋珈琲,2.0,False
